This is Bill Lange. I'm Dave Gallo.	大卫.盖罗：这位是比尔.兰格， 我是大卫.盖罗。
Controlling -- you're obviously an idiot, so I'm going to make a zillion little processes for you to follow so you don't step out of the box.	（众人笑） 指手画脚-- 你明显是个白痴 我要设计成千上百的小步骤好让你遵守，这样你就不会做错了
So they're restrictive -- don't use your mobile phone, don't use your laptop, don't search the Internet, don't be on I.M.	他们还很严苛--不许用手机 不许用笔记本电脑，不许上网 不许聊QQ
That's somehow unprofessional and bad.	这样太不专业，影响太坏了
And at the end of the day, it's unfulfilling because you're controlled, you're restricted, you're not valued and you're not having any fun.	到头来，这工作一点成就感都没有 你受人摆布，受到限制，还不被看重 你得不到任何乐趣
In social, in education and in our business, don't value play.	不论是在社会上，教育上还是经济上 玩耍都得不到重视
And that's why we're last, because we don't value play.	正因如此，我们才落于人后 因为我们不重视玩耍
And you can say, "That's ridiculous, Steve. What a dumb idea.	你会反驳说：真荒谬，史蒂夫，这想法太不靠谱了。
It can't be because of play.	怎么可能是因为玩耍呢。
Just play, that's a stupid thing."	玩耍，太蠢了。
We have the serious meme in us.	我们被严肃的文化基因毒害了
Well I'm going to say no.	现在我要对它说不
And I will prove it to you in the next part of the speech -- that play is the catalyst, it is the revolution, that we can use to transform Bulgaria for the better.	我下面就会证明给你们看-- 玩耍就是载体，就是革命 能够为我们所用来把保加利亚变得更美好
Play: our brains are hardwired for play.	玩耍： 我们的大脑 是专为玩耍而设计的
Evolution has selected, over millions and billions of years, for play in animals and in humans.	动物和人类 经过了几百万乃至几十亿年的进化 善于玩耍
And you know what?	你知道吗？
Evolution does a really, really good job of deselecting traits that aren't advantageous to us and selecting traits for competitive advantage.	进化非常有效 将我们不利的身体特征淘汰 而保留了有利于竞争的特征
Nature isn't stupid, and it selected for play.	大自然可不笨，它让进化为玩耍而服务
Throughout the animal kingdom, for example: ants. Ants play.	例如，在动物界中 蚂蚁，善于玩耍
Maybe you didn't know that.	也许你还不知道
But when they're playing, they're learning the social order and dynamics of things.	它们在玩耍时 学习社会秩序和事物的运行
Rats play, but what you might not have known is that rats that play more have bigger brains and they learn tasks better, skills.	老鼠也玩耍，而你们可能不知道 更好玩的老鼠 拥有更大的大脑 它们更善于学习任务 技能
Kittens play. We all know kittens play.	我们都知道猫咪们好玩耍
But what you may not know is that kittens deprived of play are unable to interact socially.	而你们可能不知道 如果不让小猫玩耍 那么它们就无法与其它猫交流
They can still hunt, but they can't be social.	它们仍旧能够捕猎，但却无法互动
Bears play.	熊也玩耍
But what you may not know is that bears that play more survive longer.	而你们可能不知道 更会玩的熊能够活得更久
It's not the bears that learn how to fish better.	活得更久的不是那些善于捕鱼的熊
It's the ones that play more.	而是那些更会玩的熊
And a final really interesting study -- it's been shown, a correlation between play and brain size.	最后，一项非常有趣的研究表明 玩耍与脑子的大小 是有关联的
The more you play, the bigger the brains there are.	玩得越多，脑子越大
Dolphins, pretty big brains, play a lot.	海豚拥有很大的脑子，善于玩耍
But who do you think with the biggest brains are the biggest players?	而你知道 谁的脑子最大，谁才是最大的玩家吗？
Yours truly: humans.	答案是：我们的脑子，我们人类
Kids play, we play -- of every nationality, of every race, of every color, of every religion.	孩子玩耍，我们玩耍-- 每个国家，每个种族 每种肤色，每种宗教
It's a universal thing -- we play.	这是我们的共同点--玩耍
And it's not just kids, it's adults too.	玩耍并不只是儿童的专利，大人们也玩耍
Really cool term: neoteny -- the retention of play and juvenile traits in adults.	非常酷的称谓：童心未泯-- 少年好玩的天性在成年人内心的延续
And who are the biggest neotenists?	谁最童心未泯？
Humans.	人类。
We play sports.	我们玩运动
We do it for fun, or as Olympians, or as professionals.	为娱乐，或作为奥林匹克运动员，或作为职业选手
We play musical instruments.	我们玩乐器
We dance, we kiss, we sing, we just goof around.	我们跳舞，亲吻，歌唱 我们追逐打闹
We're designed by nature to play from birth to old age.	我们天生就会玩耍 从生到老
We're designed to do that continuously -- to play and play a lot and not stop playing.	我们天生 就喜欢一直玩 不停地玩
It is a huge benefit.	这是很大的优势
Just like there's benefits to animals, there's benefits to humans.	对动物有利 对人类也有利
For example, it's been shown to stimulate neural growth in the amygdala, in the area where it controls emotions.	例如，研究表明 玩耍能够刺激扁桃腺 情绪控制区的神经增长
It's been shown to promote pre-frontal cortex development where a lot of cognition is happening.	玩耍还能够促进前脑皮层的发展 这正是意识形成的区域
As a result, what happens?	那么结果呢？
We develop more emotional maturity if we play more.	我们玩得越多，我们的情绪成熟度就越高
We develop better decision-making ability if we play more.	我们玩得越多 我们的决策能力越强
